species	dir
E_albens	/home/user/GCA_014182695.1.fna
E_erythrocorys	/home/user/GCA_014182555.1.fna
E_virginea	/home/user/GCA_014182375.1.fna
A_floribunda	/home/user/GCA_014182895.1.fna
